#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
Reactome	HSA-6798695	Neutrophil degranulation	9	476	0.77	0.0083	9606.ENSP00000216962,9606.ENSP00000262428,9606.ENSP00000291568,9606.ENSP00000302886,9606.ENSP00000348461,9606.ENSP00000354468,9606.ENSP00000367220,9606.ENSP00000399457,9606.ENSP00000408411	PYGB,COTL1,CSTB,PA2G4,RAC1,CYB5R3,ACTR2,DDOST,LAMP2
Reactome	HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	5	110	1.15	0.0107	9606.ENSP00000233025,9606.ENSP00000331019,9606.ENSP00000346088,9606.ENSP00000399457,9606.ENSP00000431240	SPCS1,RPS27L,RPL22,DDOST,RPLP2
Reactome	HSA-72766	Translation	7	290	0.88	0.0124	9606.ENSP00000233025,9606.ENSP00000331019,9606.ENSP00000346088,9606.ENSP00000347495,9606.ENSP00000364119,9606.ENSP00000399457,9606.ENSP00000431240	SPCS1,RPS27L,RPL22,WARS1,EIF2S2,DDOST,RPLP2
Reactome	HSA-1430728	Metabolism	18	2092	0.43	0.0177	9606.ENSP00000216802,9606.ENSP00000216962,9606.ENSP00000262030,9606.ENSP00000290349,9606.ENSP00000331019,9606.ENSP00000331897,9606.ENSP00000341625,9606.ENSP00000346088,9606.ENSP00000354468,9606.ENSP00000354612,9606.ENSP00000355325,9606.ENSP00000360021,9606.ENSP00000364949,9606.ENSP00000370254,9606.ENSP00000378487,9606.ENSP00000431240,9606.ENSP00000478061,9606.ENSP00000499935	PSME2,PYGB,ATP5F1B,CBR1,RPS27L,IDH2,CYB5A,RPL22,CYB5R3,PTGS1,PSMB5,GNG12,DDAH2,AKR1C1,VDAC1,RPLP2,MARCKS,AK2
Reactome	HSA-376176	Signaling by ROBO receptors	6	215	0.94	0.0177	9606.ENSP00000216802,9606.ENSP00000331019,9606.ENSP00000346088,9606.ENSP00000348461,9606.ENSP00000355325,9606.ENSP00000431240	PSME2,RPS27L,RPL22,RAC1,PSMB5,RPLP2
Reactome	HSA-5663205	Infectious disease	11	917	0.57	0.0314	9606.ENSP00000216802,9606.ENSP00000328484,9606.ENSP00000331019,9606.ENSP00000346088,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000355325,9606.ENSP00000360021,9606.ENSP00000367220,9606.ENSP00000399457,9606.ENSP00000431240	PSME2,H2AC14,RPS27L,RPL22,RAC1,PCBP2,PSMB5,GNG12,ACTR2,DDOST,RPLP2
Reactome	HSA-9010553	Regulation of expression of SLITs and ROBOs	5	169	0.97	0.0442	9606.ENSP00000216802,9606.ENSP00000331019,9606.ENSP00000346088,9606.ENSP00000355325,9606.ENSP00000431240	PSME2,RPS27L,RPL22,PSMB5,RPLP2
Reactome	HSA-8950505	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	3	37	1.4	0.0492	9606.ENSP00000216802,9606.ENSP00000297185,9606.ENSP00000446252	PSME2,HSPA9,SOD2
WikiPathways	WP98	Prostaglandin synthesis and regulation	4	45	1.44	0.0139	9606.ENSP00000290349,9606.ENSP00000296511,9606.ENSP00000354612,9606.ENSP00000370254	CBR1,ANXA5,PTGS1,AKR1C1
WikiPathways	WP3888	VEGFA-VEGFR2 signaling	8	428	0.77	0.0275	9606.ENSP00000253413,9606.ENSP00000331897,9606.ENSP00000348461,9606.ENSP00000357980,9606.ENSP00000364935,9606.ENSP00000404854,9606.ENSP00000431240,9606.ENSP00000446252	ATP6V1E1,IDH2,RAC1,HTRA1,CLIC1,NDRG1,RPLP2,SOD2
WikiPathways	WP408	Oxidative stress response	3	30	1.5	0.0410	9606.ENSP00000371554,9606.ENSP00000380781,9606.ENSP00000446252	SOD3,NFIX,SOD2
TISSUES	BTO:0000759	Liver	34	2125	0.7	1.20e-13	9606.ENSP00000216802,9606.ENSP00000216962,9606.ENSP00000253413,9606.ENSP00000262030,9606.ENSP00000273398,9606.ENSP00000291568,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000309477,9606.ENSP00000325240,9606.ENSP00000331019,9606.ENSP00000331897,9606.ENSP00000341625,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000352438,9606.ENSP00000354468,9606.ENSP00000355325,9606.ENSP00000363745,9606.ENSP00000364119,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000367220,9606.ENSP00000370254,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000399457,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000431240,9606.ENSP00000446252,9606.ENSP00000478061,9606.ENSP00000499935	PSME2,PYGB,ATP6V1E1,ATP5F1B,ATP6V1A,CSTB,ANXA5,HSPA9,PA2G4,ACO1,LASP1,RPS27L,IDH2,CYB5A,RPL22,DDX21,PCBP2,CYB5R3,PSMB5,HNRNPR,EIF2S2,CLIC1,DDAH2,ACTR2,AKR1C1,CCT4,VDAC1,DDOST,NDRG1,LAMP2,RPLP2,SOD2,MARCKS,AK2
TISSUES	BTO:0000345	Digestive gland	38	2881	0.62	1.43e-13	9606.ENSP00000216802,9606.ENSP00000216962,9606.ENSP00000253413,9606.ENSP00000262030,9606.ENSP00000273258,9606.ENSP00000273398,9606.ENSP00000291568,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000309477,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000331019,9606.ENSP00000331897,9606.ENSP00000341625,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000354468,9606.ENSP00000355325,9606.ENSP00000360021,9606.ENSP00000363745,9606.ENSP00000364119,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000367220,9606.ENSP00000370254,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000399457,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000431240,9606.ENSP00000446252,9606.ENSP00000478061,9606.ENSP00000499935	PSME2,PYGB,ATP6V1E1,ATP5F1B,ARL6IP5,ATP6V1A,CSTB,ANXA5,HSPA9,PA2G4,ACO1,ZYX,LASP1,RPS27L,IDH2,CYB5A,RPL22,DDX21,RAC1,PCBP2,CYB5R3,PSMB5,GNG12,HNRNPR,EIF2S2,CLIC1,DDAH2,ACTR2,AKR1C1,CCT4,VDAC1,DDOST,NDRG1,LAMP2,RPLP2,SOD2,MARCKS,AK2
TISSUES	BTO:0001491	Viscus	49	5378	0.45	1.43e-13	9606.ENSP00000216802,9606.ENSP00000216962,9606.ENSP00000253413,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000264065,9606.ENSP00000273258,9606.ENSP00000273398,9606.ENSP00000291568,9606.ENSP00000294360,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000303992,9606.ENSP00000309477,9606.ENSP00000323867,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000328088,9606.ENSP00000330074,9606.ENSP00000331019,9606.ENSP00000331897,9606.ENSP00000341625,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000354468,9606.ENSP00000355325,9606.ENSP00000357695,9606.ENSP00000360021,9606.ENSP00000363745,9606.ENSP00000364119,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000367220,9606.ENSP00000370254,9606.ENSP00000371554,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000399457,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000422896,9606.ENSP00000431240,9606.ENSP00000446252,9606.ENSP00000478061,9606.ENSP00000499935	PSME2,PYGB,ATP6V1E1,ATP5F1B,COTL1,DNAJC10,ARL6IP5,ATP6V1A,CSTB,CZIB,ANXA5,HSPA9,PA2G4,TMEM43,ACO1,PRKAG1,ZYX,LASP1,PAWR,H1-5,RPS27L,IDH2,CYB5A,RPL22,DDX21,WARS1,RAC1,PCBP2,CYB5R3,PSMB5,S100A16,GNG12,HNRNPR,EIF2S2,CLIC1,DDAH2,ACTR2,AKR1C1,SOD3,CCT4,VDAC1,DDOST,NDRG1,LAMP2,SEPTIN11,RPLP2,SOD2,MARCKS,AK2
TISSUES	BTO:0000522	Gland	51	7004	0.36	1.30e-10	9606.ENSP00000216802,9606.ENSP00000216962,9606.ENSP00000253413,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000264065,9606.ENSP00000273258,9606.ENSP00000273398,9606.ENSP00000290349,9606.ENSP00000291568,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000303992,9606.ENSP00000308405,9606.ENSP00000309477,9606.ENSP00000323867,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000328088,9606.ENSP00000331019,9606.ENSP00000331897,9606.ENSP00000341625,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000354468,9606.ENSP00000355325,9606.ENSP00000357695,9606.ENSP00000360021,9606.ENSP00000363745,9606.ENSP00000364119,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000366694,9606.ENSP00000367220,9606.ENSP00000370254,9606.ENSP00000371554,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000380781,9606.ENSP00000399457,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000422896,9606.ENSP00000431240,9606.ENSP00000446252,9606.ENSP00000478061,9606.ENSP00000499935	PSME2,PYGB,ATP6V1E1,ATP5F1B,COTL1,DNAJC10,ARL6IP5,ATP6V1A,CBR1,CSTB,ANXA5,HSPA9,PA2G4,TMEM43,H2AZ2,ACO1,PRKAG1,ZYX,LASP1,PAWR,RPS27L,IDH2,CYB5A,RPL22,DDX21,WARS1,RAC1,PCBP2,CYB5R3,PSMB5,S100A16,GNG12,HNRNPR,EIF2S2,CLIC1,DDAH2,KCTD12,ACTR2,AKR1C1,SOD3,CCT4,VDAC1,NFIX,DDOST,NDRG1,LAMP2,SEPTIN11,RPLP2,SOD2,MARCKS,AK2
TISSUES	BTO:0001488	Endocrine gland	49	6403	0.38	1.30e-10	9606.ENSP00000216802,9606.ENSP00000216962,9606.ENSP00000253413,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000264065,9606.ENSP00000273258,9606.ENSP00000273398,9606.ENSP00000290349,9606.ENSP00000291568,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000303992,9606.ENSP00000308405,9606.ENSP00000309477,9606.ENSP00000323867,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000331019,9606.ENSP00000331897,9606.ENSP00000341625,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000354468,9606.ENSP00000355325,9606.ENSP00000360021,9606.ENSP00000363745,9606.ENSP00000364119,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000366694,9606.ENSP00000367220,9606.ENSP00000370254,9606.ENSP00000371554,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000380781,9606.ENSP00000399457,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000422896,9606.ENSP00000431240,9606.ENSP00000446252,9606.ENSP00000478061,9606.ENSP00000499935	PSME2,PYGB,ATP6V1E1,ATP5F1B,COTL1,DNAJC10,ARL6IP5,ATP6V1A,CBR1,CSTB,ANXA5,HSPA9,PA2G4,TMEM43,H2AZ2,ACO1,PRKAG1,ZYX,LASP1,RPS27L,IDH2,CYB5A,RPL22,DDX21,WARS1,RAC1,PCBP2,CYB5R3,PSMB5,GNG12,HNRNPR,EIF2S2,CLIC1,DDAH2,KCTD12,ACTR2,AKR1C1,SOD3,CCT4,VDAC1,NFIX,DDOST,NDRG1,LAMP2,SEPTIN11,RPLP2,SOD2,MARCKS,AK2
TISSUES	BTO:0003091	Urogenital system	50	7090	0.34	1.05e-09	9606.ENSP00000188790,9606.ENSP00000216802,9606.ENSP00000233025,9606.ENSP00000261263,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000264065,9606.ENSP00000273258,9606.ENSP00000273398,9606.ENSP00000290349,9606.ENSP00000291568,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000303992,9606.ENSP00000308405,9606.ENSP00000309477,9606.ENSP00000323867,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000328088,9606.ENSP00000331897,9606.ENSP00000341625,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000354468,9606.ENSP00000355325,9606.ENSP00000357695,9606.ENSP00000357980,9606.ENSP00000360021,9606.ENSP00000363745,9606.ENSP00000364119,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000366694,9606.ENSP00000370254,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000380781,9606.ENSP00000399457,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000422896,9606.ENSP00000431240,9606.ENSP00000446252,9606.ENSP00000478061,9606.ENSP00000499935	FAP,PSME2,SPCS1,RAB21,ATP5F1B,COTL1,DNAJC10,ARL6IP5,ATP6V1A,CBR1,CSTB,ANXA5,HSPA9,PA2G4,TMEM43,H2AZ2,ACO1,PRKAG1,ZYX,LASP1,PAWR,IDH2,CYB5A,RPL22,DDX21,WARS1,RAC1,PCBP2,CYB5R3,PSMB5,S100A16,HTRA1,GNG12,HNRNPR,EIF2S2,CLIC1,DDAH2,KCTD12,AKR1C1,CCT4,VDAC1,NFIX,DDOST,NDRG1,LAMP2,SEPTIN11,RPLP2,SOD2,MARCKS,AK2
TISSUES	BTO:0000083	Female reproductive system	46	6111	0.37	3.41e-09	9606.ENSP00000188790,9606.ENSP00000216802,9606.ENSP00000233025,9606.ENSP00000261263,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000264065,9606.ENSP00000273258,9606.ENSP00000290349,9606.ENSP00000291568,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000303992,9606.ENSP00000308405,9606.ENSP00000309477,9606.ENSP00000323867,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000331897,9606.ENSP00000341625,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000354468,9606.ENSP00000357695,9606.ENSP00000357980,9606.ENSP00000360021,9606.ENSP00000363745,9606.ENSP00000364119,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000366694,9606.ENSP00000370254,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000399457,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000422896,9606.ENSP00000431240,9606.ENSP00000446252,9606.ENSP00000478061,9606.ENSP00000499935	FAP,PSME2,SPCS1,RAB21,ATP5F1B,COTL1,DNAJC10,ARL6IP5,CBR1,CSTB,ANXA5,HSPA9,PA2G4,TMEM43,H2AZ2,ACO1,PRKAG1,ZYX,LASP1,IDH2,CYB5A,RPL22,DDX21,WARS1,RAC1,PCBP2,CYB5R3,S100A16,HTRA1,GNG12,HNRNPR,EIF2S2,CLIC1,DDAH2,KCTD12,AKR1C1,CCT4,VDAC1,DDOST,NDRG1,LAMP2,SEPTIN11,RPLP2,SOD2,MARCKS,AK2
TISSUES	BTO:0000081	Reproductive system	47	6444	0.36	3.94e-09	9606.ENSP00000188790,9606.ENSP00000216802,9606.ENSP00000233025,9606.ENSP00000261263,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000264065,9606.ENSP00000273258,9606.ENSP00000290349,9606.ENSP00000291568,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000303992,9606.ENSP00000308405,9606.ENSP00000309477,9606.ENSP00000323867,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000331897,9606.ENSP00000341625,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000354468,9606.ENSP00000357695,9606.ENSP00000357980,9606.ENSP00000360021,9606.ENSP00000363745,9606.ENSP00000364119,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000366694,9606.ENSP00000370254,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000380781,9606.ENSP00000399457,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000422896,9606.ENSP00000431240,9606.ENSP00000446252,9606.ENSP00000478061,9606.ENSP00000499935	FAP,PSME2,SPCS1,RAB21,ATP5F1B,COTL1,DNAJC10,ARL6IP5,CBR1,CSTB,ANXA5,HSPA9,PA2G4,TMEM43,H2AZ2,ACO1,PRKAG1,ZYX,LASP1,IDH2,CYB5A,RPL22,DDX21,WARS1,RAC1,PCBP2,CYB5R3,S100A16,HTRA1,GNG12,HNRNPR,EIF2S2,CLIC1,DDAH2,KCTD12,AKR1C1,CCT4,VDAC1,NFIX,DDOST,NDRG1,LAMP2,SEPTIN11,RPLP2,SOD2,MARCKS,AK2
TISSUES	BTO:0000421	Connective tissue	19	954	0.79	2.52e-08	9606.ENSP00000188790,9606.ENSP00000253413,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000273258,9606.ENSP00000294360,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000352438,9606.ENSP00000354612,9606.ENSP00000357980,9606.ENSP00000364949,9606.ENSP00000370254,9606.ENSP00000378487,9606.ENSP00000399457,9606.ENSP00000408411,9606.ENSP00000422896,9606.ENSP00000480270	FAP,ATP6V1E1,ATP5F1B,COTL1,ARL6IP5,CZIB,ANXA5,HSPA9,PA2G4,PCBP2,PTGS1,HTRA1,DDAH2,AKR1C1,VDAC1,DDOST,LAMP2,SEPTIN11,PPP1R18
TISSUES	BTO:0000058	Alimentary canal	25	2021	0.59	2.43e-07	9606.ENSP00000216962,9606.ENSP00000253413,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000264065,9606.ENSP00000294360,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000325240,9606.ENSP00000331897,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000370254,9606.ENSP00000371554,9606.ENSP00000378487,9606.ENSP00000399457,9606.ENSP00000404854,9606.ENSP00000422896,9606.ENSP00000431240,9606.ENSP00000446252	PYGB,ATP6V1E1,ATP5F1B,COTL1,DNAJC10,CZIB,ANXA5,HSPA9,PA2G4,LASP1,IDH2,RPL22,DDX21,WARS1,RAC1,CLIC1,DDAH2,AKR1C1,SOD3,VDAC1,DDOST,NDRG1,SEPTIN11,RPLP2,SOD2
TISSUES	BTO:0000511	Gastrointestinal tract	23	1816	0.6	8.80e-07	9606.ENSP00000216962,9606.ENSP00000253413,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000264065,9606.ENSP00000294360,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000325240,9606.ENSP00000331897,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000370254,9606.ENSP00000371554,9606.ENSP00000378487,9606.ENSP00000404854,9606.ENSP00000422896,9606.ENSP00000446252	PYGB,ATP6V1E1,ATP5F1B,COTL1,DNAJC10,CZIB,ANXA5,HSPA9,PA2G4,LASP1,IDH2,RPL22,DDX21,WARS1,RAC1,CLIC1,DDAH2,AKR1C1,SOD3,VDAC1,NDRG1,SEPTIN11,SOD2
TISSUES	BTO:0000570	Hematopoietic system	28	2755	0.5	1.05e-06	9606.ENSP00000216962,9606.ENSP00000261263,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000273258,9606.ENSP00000273398,9606.ENSP00000297185,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000330074,9606.ENSP00000341625,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000347495,9606.ENSP00000352438,9606.ENSP00000354468,9606.ENSP00000354612,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000371554,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000399457,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000422896,9606.ENSP00000431240,9606.ENSP00000480270	PYGB,RAB21,ATP5F1B,COTL1,ARL6IP5,ATP6V1A,HSPA9,ZYX,LASP1,H1-5,CYB5A,RPL22,DDX21,WARS1,PCBP2,CYB5R3,PTGS1,CLIC1,DDAH2,SOD3,CCT4,VDAC1,DDOST,NDRG1,LAMP2,SEPTIN11,RPLP2,PPP1R18
TISSUES	BTO:0001253	Skin	18	1151	0.69	2.62e-06	9606.ENSP00000216962,9606.ENSP00000262030,9606.ENSP00000273258,9606.ENSP00000290349,9606.ENSP00000296511,9606.ENSP00000302886,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000331897,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000355325,9606.ENSP00000357695,9606.ENSP00000364935,9606.ENSP00000370254,9606.ENSP00000378487,9606.ENSP00000422896,9606.ENSP00000431240	PYGB,ATP5F1B,ARL6IP5,CBR1,ANXA5,PA2G4,ZYX,LASP1,IDH2,WARS1,RAC1,PSMB5,S100A16,CLIC1,AKR1C1,VDAC1,SEPTIN11,RPLP2
TISSUES	BTO:0003914	Interstitial cell of Cajal	9	193	1.16	2.62e-06	9606.ENSP00000253413,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000294360,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000364949,9606.ENSP00000378487,9606.ENSP00000422896	ATP6V1E1,ATP5F1B,COTL1,CZIB,HSPA9,PA2G4,DDAH2,VDAC1,SEPTIN11
TISSUES	BTO:0000284	Organism form	26	2542	0.5	3.39e-06	9606.ENSP00000188790,9606.ENSP00000216802,9606.ENSP00000261263,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000290349,9606.ENSP00000291568,9606.ENSP00000296511,9606.ENSP00000303992,9606.ENSP00000324422,9606.ENSP00000331897,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000347495,9606.ENSP00000354468,9606.ENSP00000355325,9606.ENSP00000357980,9606.ENSP00000363745,9606.ENSP00000364119,9606.ENSP00000366694,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000422896,9606.ENSP00000478061,9606.ENSP00000499501,9606.ENSP00000499935	FAP,PSME2,RAB21,ATP5F1B,COTL1,CBR1,CSTB,ANXA5,TMEM43,ZYX,IDH2,RPL22,DDX21,WARS1,CYB5R3,PSMB5,HTRA1,HNRNPR,EIF2S2,KCTD12,NDRG1,LAMP2,SEPTIN11,MARCKS,H3-2,AK2
TISSUES	BTO:0000089	Blood	22	1824	0.58	3.42e-06	9606.ENSP00000216962,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000273258,9606.ENSP00000273398,9606.ENSP00000297185,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000341625,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000347495,9606.ENSP00000352438,9606.ENSP00000354468,9606.ENSP00000354612,9606.ENSP00000364949,9606.ENSP00000371554,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000399457,9606.ENSP00000422896,9606.ENSP00000431240	PYGB,ATP5F1B,COTL1,ARL6IP5,ATP6V1A,HSPA9,ZYX,LASP1,CYB5A,RPL22,DDX21,WARS1,PCBP2,CYB5R3,PTGS1,DDAH2,SOD3,CCT4,VDAC1,DDOST,SEPTIN11,RPLP2
TISSUES	BTO:0003099	Internal female genital organ	27	2804	0.48	4.92e-06	9606.ENSP00000233025,9606.ENSP00000261263,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000264065,9606.ENSP00000290349,9606.ENSP00000291568,9606.ENSP00000296511,9606.ENSP00000303992,9606.ENSP00000308405,9606.ENSP00000309477,9606.ENSP00000324422,9606.ENSP00000341625,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000347495,9606.ENSP00000354468,9606.ENSP00000357695,9606.ENSP00000357980,9606.ENSP00000360021,9606.ENSP00000363745,9606.ENSP00000364119,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000431240,9606.ENSP00000446252,9606.ENSP00000499935	SPCS1,RAB21,ATP5F1B,COTL1,DNAJC10,CBR1,CSTB,ANXA5,TMEM43,H2AZ2,ACO1,ZYX,CYB5A,RPL22,DDX21,WARS1,CYB5R3,S100A16,HTRA1,GNG12,HNRNPR,EIF2S2,NDRG1,LAMP2,RPLP2,SOD2,AK2
TISSUES	BTO:0000580	Blood cancer cell	18	1234	0.66	5.10e-06	9606.ENSP00000216802,9606.ENSP00000261263,9606.ENSP00000262030,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000352438,9606.ENSP00000363745,9606.ENSP00000364119,9606.ENSP00000364935,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000404854,9606.ENSP00000431240	PSME2,RAB21,ATP5F1B,ANXA5,HSPA9,PA2G4,ZYX,LASP1,RPL22,DDX21,PCBP2,HNRNPR,EIF2S2,CLIC1,CCT4,VDAC1,NDRG1,RPLP2
